Domain,Resolved IP,Reverse DNS,Cert Expiry,Cert SANs,Cert Issuer,WHOIS Org
pantryshop.com,172.64.150.170,,Aug  1 22:14:27 2025 GMT,"pantryshop.com, staging.pantryshop.com, *.staging.pantryshop.com",countryName=US,
snacks.com,45.223.27.132,,Mar 18 23:59:59 2026 GMT,"snacks.com, mail.snacks.com, www.snacks.com, flaminhotuniversity.com, csr.snacks.com, secure.snacks.com, www.flaminhotuniversity.com, share.snacks.com",countryName=US,
ajcornmeal.com,,,,,,
auntjemima.com,45.60.99.178,,Jan  6 23:59:59 2026 GMT,"www.auntjemima.com, auntjemima.com, ajcornmeal.com, www.ajcornmeal.com, pearlmilling.com, pearlmillingco.com, pearlmillingcompany.com, www.pearlmilling.com, www.pearlmillingco.com, www.pearlmillingcompany.com",countryName=US,
capncrunch.com,45.223.17.132,,Mar 18 23:59:59 2026 GMT,"CapnCrunch.com, www.CapnCrunch.com, CapnCrunchVenture.com, www.CapnCrunchVenture.com",countryName=US,
fritos.com,45.223.17.132,,Feb 18 23:59:59 2026 GMT,"Fritolay.com, www.Fritolay.com, besnackready.com, crackerjackapp.com, www.crackerjackapp.com, pop.fritolay.com, frito-lay.com, www.frito-lay.com, fritolayjobs.com, www.fritolayjobs.com, fritos.com, www.fritos.com, Helmet4helmet.com, www.Helmet4helmet.com, helmetforhelmet.com, www.helmetforhelmet.com, lacocinadejosefinatortillachips.com, www.lacocinadejosefinatortillachips.com, layskettlecooked.com, www.layskettlecooked.com, poppables.com, readytogosnacks.com, www.readytogosnacks.com, snacks.com, www.snacks.com, pepsicofoodsfsv.com, pepsicofoodsfoodservice.com, www.pepsicofoodsfsv.com, www.pepsicofoodsfoodservice.com, pepsicofoodservice.com, pepsicoflavorworks.com, www.pepsicoflavorworks.com, redrockdeli.com, www.redrockdeli.com, HiloLife.com, www.HiloLife.com",countryName=US,
tropicana.com,67.53.137.116,syn-067-053-137-116.biz.spectrum.com,Jul 31 04:01:46 2025 GMT,"tropicana.com, www.tropicana.com",countryName=US,
quakeroats.com,45.223.27.132,,Mar 18 23:59:59 2026 GMT,"quakeroats.com, www.quakeroats.com, m.quakeroats.com, www.m.quakeroats.com, makeyourmove.quakeroats.com, www.makeyourmove.quakeroats.com, www2.quakeroats.com, stage.quakeroats.com",countryName=US,
gatorade.com,45.223.27.132,,Mar 13 23:59:59 2026 GMT,"gatorade.com, gatorade-arabia.com, gatoradecycling.com, gatoradeperformanceseries.com, gatoradedirect.com, enduranceformula.com, cheapgatorade.com, gatoradefutbol.com, playeroftheyear.gatorade.com, gatorade-for-less.com, gatoradeef.com, gatoradeedge.com, gatoradetiger.com, gatoradeenduranceformula.com, buygatorade.info, gatorademarathon.com, gatoradecoolers.com, gatorade4less.com, gatoradeendurance.com, gatoradeforless.com, g2forless.com, buygatorade.net, sweatittogetit.com, gatoradesoccer.com, gatorademilitary.com, gatoradetriathlon.com, gatoradeonline.com, drinkg2.com, gatoradeforless.net, buygatorade.us, yourgatorade.com, www.gatoradeendurance.com, buygatorade.com, gatoradefootball.com, gatoraderunning.com, www.gatorade.com, youthpartnership.gatorade.com, stage.gatorade.com, performancepartner.gatorade.com, gatoradeperformancepartner.com, gx.gatorade.com, gxstage.gatorade.com, gatoradesportsshop.com, www.gatoradesportsshop.com, www.endurance-stage.gatorade.com, www.endurance.gatorade.com, endurance-stage.gatorade.com, endurance.gatorade.com, community.gatorade.com, www.community.gatorade.com, www.buygatorade.info, www.gatoradefutbol.com",countryName=US,
doritos.com,45.223.27.132,,Mar 16 23:59:59 2026 GMT,"www.doritos.com, doritos.com, thelogogoeshere.com, www.thelogogoeshere.com",countryName=US,
